Prefix (*deleted),ÿCountry Name,ÿContinent,ÿITU Zone,ÿCQ Zone,ÿTime Zone (hrs. from UTC),ÿLatitude,ÿLongitude,ÿITU Prefix Allocations,ÿOther Amateur Prefixes
ÿ8Z5*,ÿKuwait/S Arabia NZ,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ29N,ÿ48E,ÿ,ÿ9K3
ÿ9A,ÿCroatia,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ46N,ÿ16E,ÿ9A,ÿ
ÿ9G,ÿGhana,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ5N,ÿ0W,ÿ9G,ÿ
ÿ9H,ÿMalta,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ36N,ÿ15E,ÿ9H,ÿ
ÿ9J,ÿZambia,ÿAf,ÿ53,ÿ36,ÿ+2,ÿ15S,ÿ28E,ÿ9I-9J,ÿ
ÿ9K,ÿKuwait,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ29N,ÿ48E,ÿ9K,ÿ
ÿ9L,ÿSierra Leone,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ9N,ÿ13W,ÿ9L,ÿ
ÿ9M2,ÿMalaysia,ÿAs,ÿ54,ÿ28,ÿ+7.5,ÿ3N,ÿ102E,"ÿ9M,9W",ÿ9M4
ÿ9M6,ÿEast Malaysia,ÿOc,ÿ54,ÿ28,ÿ+8,ÿ2N,ÿ110E,ÿ,ÿ9M8
ÿ9N,ÿNepal,ÿAs,ÿ42,ÿ22,ÿ+5.75,ÿ28N,ÿ85E,ÿ9N,ÿ
ÿ9Q,ÿDem Rep Congo (Zaire),ÿAf,ÿ52,ÿ36,ÿ+1,ÿ4S,ÿ15E,ÿ9O-9T,ÿ
ÿ9S4*,ÿSaar,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ49N,ÿ7E,ÿ,ÿ
ÿ9U,ÿBurundi,ÿAf,ÿ52,ÿ36,ÿ+3,ÿ3S,ÿ29E,ÿ9U,ÿ
ÿ9U5*,ÿRuanda-Urundi,ÿAf,ÿ52,ÿ36,ÿ+3,ÿ3S,ÿ30E,ÿ,ÿ
