Prefix (*deleted),ÿCountry Name,ÿContinent,ÿITU Zone,ÿCQ Zone,ÿTime Zone (hrs. from UTC),ÿLatitude,ÿLongitude,ÿITU Prefix Allocations,ÿOther Amateur Prefixes
ÿ9V,ÿSingapore,ÿAs,ÿ54,ÿ28,ÿ+7.5,ÿ1N,ÿ104E,"ÿ9V,S6",ÿ
ÿ9X,ÿRwanda,ÿAf,ÿ52,ÿ36,ÿ+3,ÿ2S,ÿ30E,ÿ9X,ÿ
ÿ9Y,ÿTrinidad & Tobago,ÿSA,ÿ11,ÿ09,ÿ-4,ÿ11N,ÿ62W,ÿ9Y-9Z,ÿ
ÿA1*,"ÿAbu Ail, Jabal at Tair",ÿAs,ÿ39,ÿ21,ÿ+2,ÿ14N,ÿ43E,ÿ,ÿJ2/A
ÿA2,ÿBotswana,ÿAf,ÿ57,ÿ38,ÿ+2,ÿ25S,ÿ26E,"ÿ8O,A2",ÿ
ÿA3,ÿTonga,ÿOc,ÿ62,ÿ32,ÿ+13,ÿ21S,ÿ175W,ÿA3,ÿ
ÿA4,ÿOman,ÿAs,ÿ39,ÿ21,ÿ+4,ÿ24N,ÿ59E,ÿA4,ÿ
ÿA5,ÿBhutan,ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ28N,ÿ90E,ÿA5,ÿ
ÿA6,ÿUnited Arab Emirates,ÿAs,ÿ39,ÿ21,ÿ+4,ÿ24N,ÿ54E,ÿA6,ÿ
ÿA7,ÿQatar,ÿAs,ÿ39,ÿ21,ÿ+4,ÿ25N,ÿ52E,ÿA7,ÿ
ÿA9,ÿBahrain,ÿAs,ÿ39,ÿ21,ÿ+4,ÿ26N,ÿ51E,ÿA9,ÿ
ÿAC3*,ÿSikkim,ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ27N,ÿ89E,ÿ,ÿ
ÿAC4*,ÿTibet,ÿAs,ÿ41,ÿ23,ÿ+6,ÿ30N,ÿ92E,ÿ,ÿ
ÿAP,ÿPakistan,ÿAs,ÿ41,ÿ21,ÿ+5,ÿ34N,ÿ73E,"ÿ6P-6S,AP-AS",ÿ
ÿBS7,ÿScarborough Reef,ÿAs,ÿ50,ÿ27,ÿ+8,ÿ15N,ÿ118E,ÿ,ÿ
ÿBV,ÿTaiwan,ÿAs,ÿ44,ÿ24,ÿ+8,ÿ25N,ÿ122E,ÿ,"ÿBM-BQ,BU,BW,BX"
ÿBV9,ÿPratas Is,ÿAs,ÿ44,ÿ24,ÿ+8,ÿ21N,ÿ116E,ÿ,ÿBQ9
ÿBY,ÿChina,ÿAs,"ÿ33,42-44","ÿ23,24",ÿ+8,ÿ40N,ÿ116E,"ÿ3H-3U,BA-BZ,VR,XS",ÿ
ÿC2,ÿNauru,ÿOc,ÿ65,ÿ31,ÿ+11.5,ÿ1S,ÿ167E,ÿC2,ÿ
ÿC3,ÿAndorra,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ43N,ÿ2E,ÿC3,ÿ
ÿC5,ÿGambia,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ13N,ÿ17W,ÿC5,ÿ
ÿC6,ÿBahamas,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ25N,ÿ77W,ÿC6,ÿ
ÿC9,ÿMozambique,ÿAf,ÿ53,ÿ37,ÿ+2,ÿ26S,ÿ33E,ÿC8-C9,ÿ
ÿC9*,ÿManchuria,ÿAs,ÿ33,ÿ24,ÿ+8.5,ÿ46N,ÿ127E,ÿ,ÿ
ÿCE,ÿChile,ÿSA,"ÿ14,16",ÿ12,ÿ-4,ÿ33S,ÿ71W,"ÿ3G,CA-CE,XQ-XR",ÿ
ÿCE0X,ÿSan Felix,ÿSA,ÿ14,ÿ12,ÿ-5,ÿ26S,ÿ80W,ÿ,ÿ
ÿCE0Y,ÿEaster Is,ÿSA,ÿ63,ÿ12,ÿ-7,ÿ27S,ÿ109W,ÿ,ÿ
ÿCE0Z,ÿJuan Fernandez,ÿSA,ÿ14,ÿ12,ÿ-4,ÿ34S,ÿ79W,ÿ,ÿ
ÿCE9,ÿAntarctica,ÿAn,"ÿ67,69-74","ÿ12,13,29,30,32,38,39",ÿ+0,ÿ90S,ÿ0W,ÿ,"ÿ3Y,4K1,8J1,AT0,DP0,FT_Y,KC4,LU_Z,OR4,R1AN,VK0,VP8,ZL5,ZS7,ZX0"
ÿCN,ÿMorocco,ÿAf,ÿ37,ÿ33,ÿ+0,ÿ34N,ÿ7W,"ÿ5C-5G,CN",ÿ
ÿCN2*,ÿTangier,ÿAf,ÿ37,ÿ33,ÿ+0,ÿ36N,ÿ8W,ÿ,ÿ
ÿCO,ÿCuba,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ23N,ÿ82W,"ÿCL-CM,CO,T4",ÿ
ÿCP,ÿBolivia,ÿSA,"ÿ12,14",ÿ10,ÿ-4,ÿ17S,ÿ68W,ÿCP,ÿ
ÿCR8*,"ÿDamao, Diu",ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ21N,ÿ71E,ÿ,ÿ
ÿCR8*,ÿGoa,ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ16N,ÿ74E,ÿ,ÿ
ÿCR8*,ÿPortuguese Timor,ÿOc,ÿ54,ÿ28,ÿ+8,ÿ9S,ÿ126E,ÿ,ÿ
ÿCT,ÿPortugal,ÿEu,ÿ37,ÿ14,ÿ+0,ÿ39N,ÿ9W,"ÿCQ-CU,XX",ÿ
ÿCT3,ÿMadeira Is,ÿAf,ÿ36,ÿ33,ÿ-1,ÿ33N,ÿ17W,ÿ,ÿ
ÿCU,ÿAzores,ÿEu,ÿ36,ÿ14,ÿ-1,ÿ38N,ÿ26W,ÿ,ÿ
ÿCX,ÿUruguay,ÿSA,ÿ14,ÿ13,ÿ-3,ÿ35S,ÿ56W,ÿCV-CX,ÿ
ÿCY0,ÿSable Is,ÿNA,ÿ09,ÿ05,ÿ-5,ÿ44N,ÿ60W,ÿ,ÿ
ÿCY9,ÿSt Paul Is,ÿNA,ÿ09,ÿ05,ÿ-5,ÿ47N,ÿ60W,ÿ,ÿ
ÿD2,ÿAngola,ÿAf,ÿ52,ÿ36,ÿ+1,ÿ9S,ÿ13E,ÿD2-D3,ÿ
ÿD4,ÿCape Verde,ÿAf,ÿ46,ÿ35,ÿ-2,ÿ15N,ÿ23W,ÿD4,ÿ
ÿD6,ÿComoros,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ12S,ÿ43E,ÿD6,ÿ
ÿDL,ÿGermany,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ53N,ÿ13E,"ÿDA-DR,Y2-Y9",ÿ
ÿDL*,ÿGermany,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ52N,ÿ7E,ÿ,ÿ
ÿDU,ÿPhilippines,ÿOc,ÿ50,ÿ27,ÿ+8,ÿ15N,ÿ121E,"ÿ4D-4I,DU-DZ",ÿ
ÿE3,ÿEritrea,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ15N,ÿ39E,ÿE3,ÿET2
ÿE4,ÿPalestine,ÿAs,ÿ39,ÿ20,ÿ+2,ÿ32N,ÿ34E,ÿE4,ÿ
ÿE5,ÿNo Cook Is,ÿOc,"ÿ62,63",ÿ32,ÿ-10.5,ÿ10S,ÿ161W,ÿ,ÿZK1
ÿE5,ÿSo Cook Is,ÿOc,ÿ63,ÿ32,ÿ-10.5,ÿ22S,ÿ158W,ÿ,ÿZK1
ÿE7,ÿBosnia-Hercegovina,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ44N,ÿ18E,ÿE7,ÿT9
ÿEA,ÿSpain,ÿEu,ÿ37,ÿ14,ÿ+1,ÿ40N,ÿ4W,"ÿAM-AO,EA-EH",ÿ
ÿEA6,ÿBalearic Is,ÿEu,ÿ37,ÿ14,ÿ+1,ÿ38N,ÿ3E,ÿ,ÿ
ÿEA8,ÿCanary Is,ÿAf,ÿ36,ÿ33,ÿ+0,ÿ28N,ÿ15W,ÿ,ÿ
ÿEA9,ÿCeuta & Melilla,ÿAf,ÿ37,ÿ33,ÿ+1,ÿ36N,ÿ5W,ÿ,ÿ
ÿEA9*,ÿIfni,ÿAf,ÿ37,ÿ33,ÿ+0,ÿ29N,ÿ10W,ÿ,ÿ
ÿEI,ÿIreland,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ53N,ÿ6W,ÿEI-EJ,ÿ
ÿEK,ÿArmenia,ÿAs,ÿ29,ÿ21,ÿ+4,ÿ40N,ÿ45E,ÿEK,ÿUG
ÿEL,ÿLiberia,ÿAf,ÿ46,ÿ35,ÿ-0.75,ÿ6N,ÿ11W,"ÿ5L-5M,6Z,A8,D5,EL",ÿ
ÿEP,ÿIran,ÿAs,ÿ40,ÿ21,ÿ+3.5,ÿ36N,ÿ51E,"ÿ9B-9D,EP-EQ",ÿ
ÿER,ÿMoldova,ÿEu,ÿ29,ÿ16,ÿ+3,ÿ47N,ÿ29E,ÿER,ÿUO
ÿES,ÿEstonia,ÿEu,ÿ29,ÿ15,ÿ+2,ÿ59N,ÿ25E,ÿES,ÿUR
ÿET,ÿEthiopia,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ9N,ÿ39E,"ÿ9E-9F,ET",ÿ
ÿEV,ÿBelarus,ÿEu,ÿ29,ÿ16,ÿ+2,ÿ54N,ÿ28E,ÿEU-EW,ÿUC
ÿEX,ÿKyrgyzstan,ÿAs,"ÿ30,31",ÿ17,ÿ+6,ÿ43N,ÿ75E,ÿEX,ÿUM
ÿEY,ÿTajikistan,ÿAs,ÿ30,ÿ17,ÿ+6,ÿ39N,ÿ69E,ÿEY,ÿUJ
ÿEZ,ÿTurkmenistan,ÿAs,ÿ30,ÿ17,ÿ+5,ÿ38N,ÿ58E,ÿEZ,ÿUH
ÿF,ÿFrance,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ49N,ÿ2E,"ÿFA-FZ,HW-HY,TH,TK,TM,TO-TQ,TV-TX",ÿ
ÿFF*,ÿFrench W Africa,ÿAf,ÿ46,ÿ35,ÿ+0,ÿ15N,ÿ18W,ÿ,ÿ
ÿFG,ÿGuadeloupe,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ16N,ÿ62W,ÿ,ÿTO
ÿFH,ÿMayotte,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ13S,ÿ45E,ÿ,ÿTX
ÿFH*,ÿComoros,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ12S,ÿ43E,ÿ,ÿFB8
ÿFI8*,ÿFr Indo China,ÿAs,ÿ49,ÿ26,ÿ+7,ÿ11N,ÿ107E,ÿ,ÿ
ÿFJ,ÿSt Barthelemy,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ63W,ÿ,ÿTO
ÿFK,ÿChesterfield Is,ÿOc,ÿ55,ÿ30,ÿ+11,ÿ20S,ÿ158E,ÿ,ÿTX
ÿFK,ÿNew Caledonia,ÿOc,ÿ56,ÿ32,ÿ+11,ÿ22S,ÿ167E,ÿ,ÿTX
ÿFM,ÿMartinique,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ15N,ÿ61W,ÿ,ÿTO
ÿFN8*,ÿFrench India,ÿAs,ÿ41,ÿ22,ÿ+5.5,ÿ12N,ÿ80E,ÿ,ÿ
ÿFO,ÿFrench Polynesia,ÿOc,ÿ63,ÿ32,ÿ-10,ÿ18S,ÿ150W,ÿ,ÿTX
ÿFO0,ÿAustral Is,ÿOc,ÿ63,ÿ32,ÿ-10,ÿ23S,ÿ149W,ÿ,ÿTX
ÿFO0,ÿClipperton Is,ÿNA,ÿ10,ÿ07,ÿ-7,ÿ10N,ÿ109W,ÿ,ÿTX
ÿFO0,ÿMarquesas Is,ÿOc,ÿ63,ÿ31,ÿ-10,ÿ9S,ÿ140W,ÿ,ÿTX
ÿFP,ÿSt Pierre & Miquelon,ÿNA,ÿ09,ÿ05,ÿ-4,ÿ47N,ÿ56W,ÿ,ÿTX
ÿFQ8*,ÿFr Equatorial Africa,ÿAf,"ÿ47,52",ÿ36,ÿ+1,ÿ5N,ÿ18E,ÿ,ÿ
ÿFR,ÿReunion,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ21S,ÿ55E,ÿ,ÿTO
ÿFS,ÿSt Martin,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ63W,ÿ,ÿTO
ÿFT_G,ÿGlorioso Is,ÿAf,ÿ53,ÿ39,ÿ+3,ÿ12S,ÿ47E,ÿ,"ÿFR/G,TO"
ÿFT_J,"ÿJuan de Nova, Europa",ÿAf,ÿ53,ÿ39,ÿ+3,ÿ17S,ÿ43E,ÿ,"ÿFT_E,FR/J,TO"
ÿFT_T,ÿTromelin,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ16S,ÿ54E,ÿ,"ÿFR/T,TO"
ÿFT_W,ÿCrozet,ÿAf,ÿ68,ÿ39,ÿ+3,ÿ46S,ÿ52E,ÿ,ÿTX
ÿFT_X,ÿKerguelen Is,ÿAf,ÿ68,ÿ39,ÿ+5,ÿ50S,ÿ70E,ÿ,ÿTX
ÿFT_Z,ÿAmsterdam & St Paul Is,ÿAf,ÿ68,ÿ39,ÿ+5,ÿ38S,ÿ78E,ÿ,ÿTX
ÿFW,ÿWallis & Futuna Is,ÿOc,ÿ62,ÿ32,ÿ-10.5,ÿ14S,ÿ172W,ÿ,ÿTX
ÿFY,ÿFrench Guiana,ÿSA,ÿ12,ÿ09,ÿ-4,ÿ5N,ÿ52W,ÿ,ÿTO
ÿG,ÿEngland,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ52N,ÿ0W,"ÿ2A-2Z,GA-GZ,MA-MZ,VP-VQ,VS,ZB-ZJ,ZN-ZO,ZQ","ÿ2E,GX,M,MX"
ÿGD,ÿIsle of Man,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ54N,ÿ4W,ÿ,"ÿ2D,GT,MD,MT"
ÿGI,ÿNo Ireland,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ55N,ÿ6W,ÿ,"ÿ2I,GN,MI,MN"
ÿGJ,ÿJersey,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ49N,ÿ2W,ÿ,"ÿ2J,GH,MJ,MH"
ÿGM,ÿScotland,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ57N,ÿ2W,ÿ,"ÿ2M,GS,GZ,MM,MS,MZ"
ÿGU,ÿGuernsey,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ49N,ÿ3W,ÿ,"ÿ2U,GP,MU,MP"
ÿGW,ÿWales,ÿEu,ÿ27,ÿ14,ÿ+0,ÿ52N,ÿ3W,ÿ,"ÿ2W,GC,MW,MC"
ÿH4,ÿSolomon Is,ÿOc,ÿ51,ÿ28,ÿ+11,ÿ9S,ÿ160E,ÿH4,ÿ
ÿH40,ÿTemotu,ÿOc,ÿ51,ÿ28,ÿ+11,ÿ11S,ÿ166E,ÿ,ÿ
ÿHA,ÿHungary,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ48N,ÿ19E,"ÿHA,HG",ÿ
ÿHB,ÿSwitzerland,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ47N,ÿ7E,"ÿHB,HE",ÿ
ÿHB0,ÿLiechtenstein,ÿEu,ÿ28,ÿ14,ÿ+1,ÿ47N,ÿ10E,ÿ,ÿ
ÿHC,ÿEcuador,ÿSA,ÿ12,ÿ10,ÿ-5,ÿ0N,ÿ79W,ÿHC-HD,ÿ
ÿHC8,ÿGalapagos Is,ÿSA,ÿ12,ÿ10,ÿ-6,ÿ1S,ÿ90W,ÿ,ÿ
ÿHH,ÿHaiti,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ19N,ÿ72W,"ÿ4V,HH",ÿ
ÿHI,ÿDominican Rep,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ18N,ÿ70W,ÿHI,ÿ
ÿHK,ÿColombia,ÿSA,ÿ12,ÿ09,ÿ-5,ÿ5N,ÿ74W,"ÿ5J-5K,HJ-HK",ÿ
ÿHK0,ÿMalpelo Is,ÿSA,ÿ12,ÿ09,ÿ-5,ÿ4N,ÿ82W,ÿ,ÿ
ÿHK0,ÿSan Andres & Providencia,ÿNA,ÿ11,ÿ07,ÿ-6,ÿ13N,ÿ82W,ÿ,ÿ
ÿHK0*,ÿBajo Nuevo,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ16N,ÿ79W,ÿ,ÿ
ÿHK0*,"ÿSerrana Bnk, Roncador Cay",ÿNA,ÿ11,ÿ07,ÿ-5,ÿ14N,ÿ80W,ÿ,"ÿKP3,KS4"
ÿHL,ÿSo Korea,ÿAs,ÿ44,ÿ25,ÿ+9,ÿ38N,ÿ127E,"ÿ6K-6N,DS-DT,D7-D9,HL",ÿ
ÿHP,ÿPanama,ÿNA,ÿ11,ÿ07,ÿ-5,ÿ9N,ÿ80W,"ÿ3E-3F,HO-HP,H3,H8-H9",ÿ
ÿHR,ÿHonduras,ÿNA,ÿ11,ÿ07,ÿ-6,ÿ14N,ÿ87W,ÿHQ-HR,ÿ
ÿHS,ÿThailand,ÿAs,ÿ49,ÿ26,ÿ+7,ÿ14N,ÿ101E,"ÿE2,HS",ÿ
ÿHV,ÿVatican,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ42N,ÿ13E,ÿHV,ÿ
ÿHZ,ÿSaudi Arabia,ÿAs,ÿ39,ÿ21,ÿ+3,ÿ25N,ÿ47E,"ÿ8Z,HZ,7Z",ÿ
ÿI,ÿItaly,"ÿEu,Af","ÿ28,37","ÿ15,33",ÿ+1,ÿ42N,ÿ12E,ÿIA-IZ,ÿ
ÿI1*,ÿTrieste,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ46N,ÿ14E,ÿ,ÿ
ÿI5*,ÿItal Somaliland,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ2N,ÿ46E,ÿ,ÿ
ÿIS,ÿSardinia,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ39N,ÿ9E,ÿ,ÿ
ÿJ2,ÿDjibouti,ÿAf,ÿ48,ÿ37,ÿ+3,ÿ12N,ÿ43E,ÿJ2,ÿ
ÿJ3,ÿGrenada,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ12N,ÿ62W,ÿJ3,ÿ
ÿJ5,ÿGuinea-Bissau,ÿAf,ÿ46,ÿ35,ÿ-1,ÿ12N,ÿ16W,ÿJ5,ÿ
ÿJ6,ÿSt Lucia,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ14N,ÿ61W,ÿJ6,ÿ
ÿJ7,ÿDominica,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ15N,ÿ61W,ÿJ7,ÿ
ÿJ8,ÿSt Vincent,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ13N,ÿ61W,ÿJ8,ÿ
ÿJA,ÿJapan,ÿAs,ÿ45,ÿ25,ÿ+9,ÿ36N,ÿ140E,"ÿ7J-7N,8J-8N,JA-JS",ÿ
ÿJD,ÿMinami Torishima,ÿOc,ÿ90,ÿ27,ÿ+10,ÿ24N,ÿ154E,ÿ,ÿ
ÿJD,ÿOgasawara,ÿAs,ÿ45,ÿ27,ÿ+10,ÿ28N,ÿ142E,ÿ,ÿ
ÿJD1*,ÿOkino Tori-shima,ÿAs,ÿ45,ÿ27,ÿ+10,ÿ30N,ÿ140E,ÿ,ÿ7J1
ÿJT,ÿMongolia,ÿAs,"ÿ32,33",ÿ23,ÿ+7.5,ÿ48N,ÿ107E,ÿJT-JV,ÿ
ÿJW,ÿSvalbard,ÿEu,ÿ18,ÿ40,ÿ+1,ÿ78N,ÿ16E,ÿ,ÿ
ÿJX,ÿJan Mayen,ÿEu,ÿ18,ÿ40,ÿ-1,ÿ71N,ÿ9W,ÿ,ÿ
ÿJY,ÿJordan,ÿAs,ÿ39,ÿ20,ÿ+2,ÿ32N,ÿ36E,ÿJY,ÿ
ÿJZ0*,ÿNeth New Guinea,ÿOc,ÿ51,ÿ28,ÿ+10,ÿ10S,ÿ147E,ÿ,ÿ
ÿK,ÿUnited States,ÿNA,ÿ06-08,ÿ03-05,ÿ-5,ÿ39N,ÿ77W,"ÿAA-AL,KA-KZ,NA-NZ,WA-WZ",ÿ
ÿKG4,ÿGuantanamo Bay,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ20N,ÿ75W,ÿ,ÿ
ÿKH0,ÿMariana Is,ÿOc,ÿ64,ÿ27,ÿ+10,ÿ15N,ÿ146E,ÿ,"ÿAH0,NH0,WH0"
ÿKH1,ÿBaker & Howland Is,ÿOc,ÿ61,ÿ31,ÿ-12,ÿ0N,ÿ176W,ÿ,"ÿAH1,NH1,WH1"
ÿKH2,ÿGuam,ÿOc,ÿ64,ÿ27,ÿ+10,ÿ13N,ÿ145E,ÿ,"ÿAH2,NH2,WH2"
ÿKH3,ÿJohnston Is,ÿOc,ÿ61,ÿ31,ÿ-11,ÿ17N,ÿ170W,ÿ,"ÿAH3,NH3,WH3"
ÿKH4,ÿMidway Is,ÿOc,ÿ61,ÿ31,ÿ-11,ÿ28N,ÿ177W,ÿ,"ÿAH4,NH4,WH4"
ÿKH5,"ÿPalmyra, Jarvis Is",ÿOc,"ÿ61,62",ÿ31,ÿ-11,ÿ6N,ÿ162W,ÿ,"ÿAH5,NH5,WH5"
ÿKH5K,ÿKingman Reef,ÿOc,ÿ61,ÿ31,ÿ-11,ÿ6N,ÿ162W,ÿ,"ÿAH5K,NH5K,WH5K"
ÿKH6,ÿHawaii,ÿOc,ÿ61,ÿ31,ÿ-10,ÿ21N,ÿ158W,ÿ,"ÿAH6,NH6,WH6,AH7,KH7,NH7,WH7"
ÿKH7K,ÿKure Is,ÿOc,ÿ61,ÿ31,ÿ-11,ÿ29N,ÿ178W,ÿ,"ÿAH7K,NH7K,WH7K"
ÿKH8,ÿAm Samoa,ÿOc,ÿ62,ÿ32,ÿ-11,ÿ14S,ÿ171W,ÿ,"ÿAH8,NH8,WH8"
ÿKH8S,ÿSwain's Island,ÿOc,ÿ62,ÿ32,ÿ-11,ÿ11S,ÿ171W,ÿ,"ÿAH8S,NH8S,WH8S"
ÿKH9,ÿWake Is,ÿOc,ÿ65,ÿ31,ÿ+12,ÿ19N,ÿ167E,ÿ,"ÿAH9,NH9,WH9"
ÿKL,ÿAlaska,ÿNA,"ÿ01,02",ÿ01,ÿ-8,ÿ58N,ÿ134W,ÿ,"ÿAL,NL,WL"
ÿKP1,ÿNavassa Is,ÿNA,ÿ11,ÿ08,ÿ-5,ÿ18N,ÿ75W,ÿ,"ÿNP1,WP1"
ÿKP2,ÿVirgin Is,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ65W,ÿ,"ÿNP2,WP2"
ÿKP4,ÿPuerto Rico,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ66W,ÿ,"ÿKP3,NP3,WP3,NP4,WP4"
ÿKP5,ÿDesecheo Is,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ68W,ÿ,"ÿNP5,WP5"
ÿKR6*,ÿOkinawa (Ryukyu),ÿAs,ÿ45,ÿ25,ÿ+8,ÿ26N,ÿ128E,ÿ,"ÿKR8,JR6,KA6"
ÿKS4*,ÿSwan Is,ÿNA,ÿ11,ÿ07,ÿ-6,ÿ17N,ÿ84W,ÿ,ÿ
ÿKZ5*,ÿCanal Zone,ÿNA,ÿ11,ÿ07,ÿ-5,ÿ9N,ÿ80W,ÿ,ÿ
ÿLA,ÿNorway,ÿEu,ÿ18,ÿ14,ÿ+1,ÿ60N,ÿ11E,"ÿ3Y,JW-JX,LA-LN",ÿ
ÿLU,ÿArgentina,ÿSA,"ÿ14,16",ÿ13,ÿ-3,ÿ35S,ÿ58W,"ÿAY-AZ,LO-LW,L2-L9",ÿ
ÿLX,ÿLuxembourg,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ50N,ÿ6E,ÿLX,ÿ
ÿLY,ÿLithuania,ÿEu,ÿ29,ÿ15,ÿ+2,ÿ55N,ÿ25E,ÿLY,ÿUP
ÿLZ,ÿBulgaria,ÿEu,ÿ28,ÿ20,ÿ+2,ÿ43N,ÿ23E,ÿLZ,ÿ
ÿOA,ÿPeru,ÿSA,ÿ12,ÿ10,ÿ-5,ÿ12S,ÿ78W,"ÿ4T,OA-OC",ÿ
ÿOD,ÿLebanon,ÿAs,ÿ39,ÿ20,ÿ+2,ÿ34N,ÿ36E,ÿOD,ÿ
ÿOE,ÿAustria,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ48N,ÿ16E,ÿOE,ÿ
ÿOH,ÿFinland,ÿEu,ÿ18,ÿ15,ÿ+2,ÿ60N,ÿ25E,ÿOF-OJ,ÿ
ÿOH0,ÿAland Is,ÿEu,ÿ18,ÿ15,ÿ+2,ÿ60N,ÿ20E,ÿ,ÿ
ÿOJ0,ÿMarket Reef,ÿEu,ÿ18,ÿ15,ÿ+2,ÿ60N,ÿ19E,ÿ,ÿ
ÿOK,ÿCzech Republic,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ50N,ÿ15E,ÿOK-OL,ÿ
ÿOK*,ÿCzechoslovakia,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ50N,ÿ15E,ÿ,ÿ
ÿOM,ÿSlovakia,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ48N,ÿ17E,ÿOM,ÿ
ÿON,ÿBelgium,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ51N,ÿ4E,ÿON-OT,ÿ
ÿOX,ÿGreenland,ÿNA,"ÿ05,75",ÿ40,ÿ-3,ÿ64N,ÿ52W,ÿ,ÿXP
ÿOY,ÿFaroe Is,ÿEu,ÿ18,ÿ14,ÿ+0,ÿ62N,ÿ7W,ÿ,ÿOW
ÿOZ,ÿDenmark,ÿEu,ÿ18,ÿ14,ÿ+1,ÿ56N,ÿ13E,"ÿ5P-5Q,OU-OZ,XP",ÿ
ÿP2,ÿPapua New Guinea,ÿOc,ÿ51,ÿ28,ÿ+10,ÿ10S,ÿ147E,ÿP2,ÿ
ÿP2*,ÿPapua Terr,ÿOc,ÿ51,ÿ28,ÿ+10,ÿ10S,ÿ147E,ÿ,ÿVK9
ÿP2*,ÿTerr New Guinea,ÿOc,ÿ51,ÿ28,ÿ+10,ÿ10S,ÿ147E,ÿ,ÿVK9
ÿP4,ÿAruba,ÿSA,ÿ11,ÿ09,ÿ-4,ÿ13N,ÿ70W,ÿP4,ÿ
ÿP5,ÿNo Korea,ÿAs,ÿ44,ÿ25,ÿ+9,ÿ39N,ÿ126E,"ÿHM,P5-P9",ÿ
ÿPA,ÿNetherlands,ÿEu,ÿ27,ÿ14,ÿ+1,ÿ52N,ÿ5E,ÿPA-PJ,ÿ
ÿPJ2,ÿCuracao,ÿSA,ÿ11,ÿ09,ÿ-4,ÿ12N,ÿ69W,ÿ,ÿ
ÿPJ2*,ÿNeth Antilles,ÿSA,ÿ11,ÿ09,ÿ-4,ÿ12N,ÿ69W,ÿ,"ÿPJ4,PJ9"
ÿPJ4,ÿBonaire,ÿSA,ÿ11,ÿ09,ÿ-4,ÿ12N,ÿ68W,ÿ,ÿ
ÿPJ5,ÿSaba & St Eustatius,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ63W,ÿ,ÿPJ6
ÿPJ5*,"ÿSt Maarten, Saba, St Eus",ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ63W,ÿ,ÿPJ6-8
ÿPJ7,ÿSt Maarten,ÿNA,ÿ11,ÿ08,ÿ-4,ÿ18N,ÿ63W,ÿ,ÿ
ÿPK1*,ÿJava,ÿOc,ÿ54,ÿ28,ÿ+7.5,ÿ6S,ÿ107E,ÿ,ÿPK2-3
